Section,Description,Offense,Punishment
293,"according to section 293 of indian penal code, whoever sells, lets to hire, distributes, exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to in the last preceding section, or offers or attempts so to do, shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to seven years, and also with fine which may extend to five thousand rupees. ipc 293 in simple words section 293 of the indian penal code states that anyone who sells, distributes, exhibits, or circulates obscene objects to anyone under twenty years of age can be punished with imprisonment up to three years and a fine, and in case of repeat convictions, imprisonment up to seven years and a higher fine.","sale etc., of obscene objects to young persons","first conviction 3 years + fine, then 7 years + fine"
294,"according to section 294 of indian penal code, whoever, to the annoyance of others: does any obscene act in any public place, or sings, recites or utters any obscene song, ballad or words, in or near any public place, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both. ipc 294 in simple words section 294 of the indian penal code states that anyone who does any obscene act or sings/recites obscene content in a public place, causing annoyance to others, can be punished with imprisonment up to three months, or a fine, or both.",obscene songs,3 months or fine or both
294A,"a according to section 294a of indian penal code, whoever keeps any office or place for the purpose of drawing any lottery not being a state lottery or a lottery authorised by the state government, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. and whoever publishes any proposal to pay any sum, or to deliver any goods, or to do or forbear doing anything for the benefit of any person, on any event or contingency relative or applicable to the drawing of any ticket, lot, number or figure in any such lottery shall be punished with fine which may extend to one thousand rupees. ipc 294a in simple words section 294a of the indian penal code deals with the punishment for keeping an illegal lottery office and publishing proposals related to unauthorized lotteries, with imprisonment up to six months or a fine, or both, for running the office, and a fine of up to one thousand rupees for publishing proposals.",keeping a lottery office,6 months or fine or both
295,"according to section 295 of indian penal code, whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons with the intention of thereby insulting the religion of any class of persons or with the knowledge that any class of persons is likely to consider such destruction, damage or defilement as an insult to their religion, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. ipc 295 in simple words section 295 of the indian penal code states that intentionally destroying or defiling a place of worship or any sacred object with the intention of insulting a religious group, or knowing it will likely be considered an insult, can lead to imprisonment for up to two years, or a fine, or both.","destroying, damaging or defiling a place of worship or sacred object with intent to insult the religion of any class of persons",2 years or fine or both
295A,"a according to section 295a of indian penal code, whoever, with deliberate and malicious intention of outraging the religious feelings of any class of citizens of india, by words, either spoken or written, or by signs or by visible representations or otherwise insults or attempts to insult the religion or the religious beliefs of that class, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. ipc 295a in simple words section 295a of the indian penal code deals with intentionally outraging religious feelings of any class by spoken, written, or visible means, and the punishment is imprisonment up to three years, or a fine, or both.",maliciously insulting the religions or the religious beliefs of any class,3 years or fine or both
296,"according to section 296 of indian penal code, whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. ipc 296 in simple words section 296 of the indian penal code states that intentionally causing disturbance to any religious worship or ceremonies being lawfully conducted can lead to imprisonment for up to one year, or a fine, or both.",causing a disturbance to an assembly engaged in religious worship,1 year or fine or both
297,"according to section 297 of indian penal code, whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. ipc 297 in simple words section 297 of the indian penal code states that intentionally causing hurt or insult to anyone's religious feelings, or disturbing funeral ceremonies, in places of worship or burial sites, can lead to imprisonment for up to one year, or a fine, or both.","trespassing in place of worship or sepulchre, disturbing funeral with intention to wound the feeling or to insult the religion of any person, or offering indignity to a human corpse",1 year or fine or both
298,"according to section 298 of indian penal code, whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. ipc 298 in simple words section 298 of the indian penal code states that intentionally hurting someone's religious feelings by words, sounds, gestures, or objects can lead to imprisonment for up to one year, or a fine, or both.","uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings",1 year or fine or both
299,"according to section 299 of indian penal code, whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide. ipc 299 in simple words section 299 of the indian penal code states that causing death by intending to cause death, or causing such bodily injury likely to cause death, or knowingly doing an act likely to cause death, constitutes the offence of culpable homicide.",,
29A,"description of ipc section 29a according to section 29a of indian penal code, the words ?electronic record? shall have the meaning assigned to them in clause (t) of sub-section (1) of section 2 of the information technology act, 2000.",,
300,"according to section 300 of indian penal code, except in the cases hereinafter excepted, culpable homicide is murder, if the act by which the death is caused is done with the intention of causing death, or- 2ndly.-if it is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused, or- 3rdly.-if it is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death, or- 4thly.-if the person committing the act knows that it is so imminently dangerous that it must, in all probability, cause death, or such bodily injury as is likely to cause death, and commits such act without any excuse for incurring the risk of causing death or such injury as aforesaid. ipc 300 in simple words according to section 300 of the indian penal code, culpable homicide is considered murder if the act is done with the intention of causing death or causing bodily injury likely to cause death, or if the act is so dangerous that it is likely to cause death or serious bodily injury and is done without any excuse for taking such a risk. illustrations (a) a shoots z with the intention of killing him. z dies in consequence. a commits murder. (b) a, knowing that z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention of causing bodily injury. z dies in consequence of the blow. a is guilty of murder, although the blow might not have been sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. but if a, not knowing that z is labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of health, here a, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such bodily injury as in the ordinary course of nature would cause death. (c) a intentionally gives z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature. z dies in consequence. here a is guilty of murder, although he may not have intended to cause z's death. (d) a without any excuse fires a loaded cannon into a crowd of persons and kills one of them. a is guilty of murder, although he may not have had a premeditated design to kill any particular individual. exception 1.-when culpable homicide is not murder.-culpable homicide is not murder if the offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death of the person who gave the provocation or causes the death of any other person by mistake or accident. the above exception is subject to the following provisos:- first.-that the provocation is not sought or voluntarily provoked by the offender as an excuse for killing or doing harm to any person. secondly.-that the provocation is not given by anything done in obedience to the law, or by a public servant in the lawful exercise of the powers of such public servant. thirdly.-that the provocation is not given by anything done in the lawful exercise of the right of private defence. explanation.-whether the provocation was grave and sudden enough to prevent the offence from amounting to murder is a question of fact. illustrations (a) a, under the influence of passion excited by a provocation given by z, intentionally kills y, z's child. this is murder, in as much as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in doing an act caused by the provocation. (b) y gives grave and sudden provocation to a. a, on this provocation, fires a pistol at y, neither intending nor knowing himself to be likely to kill z, who is near him, but out of sight. a kills z. here a has not committed murder, but merely culpable homicide. (c) a is lawfully arrested by z, a bailiff. a is excited to sudden and violent passion by the arrest, and kills z. this is murder, inasmuch as the provocation was given by a thing done by a public servant in the exercise of his powers. (d) a appears as a witness before z, a magistrate. z says that he does not believe a word of a's deposition, and that a has perjured himself. a is moved to sudden passion by these words, and kills z. this is murder. (e)a attempts to pull z's nose. z, in the exercise of the right of private defence, lays hold of a to prevent him from doing so. a is moved to sudden and violent passion in consequence, and kills z. this is murder, inasmuch as the provocation was giving by a thing done in the exercise of the right of private defence. (f) z strikes b. b is by this provocation excited to violent rage. a, a bystander, intending to take advantage of b's rage, and to cause him to kill z, puts a knife into b's hand for that purpose. b kills z with the knife. here b may have committed only culpable homicide, but a is guilty of murder. exception 2.-culpable homicide is not murder if the offender in the exercise in good faith of the right of private defence of person or property, exceeds the power given to him by law and causes the death of the person against whom he is exercising such right of defence without premeditation, and without any intention of doing more harm than is necessary for the purpose of such defence. illustration z attempts to horsewhip a, not in such a manner as to cause grievous hurt to a. a draws out a pistol. z persists in the assault. a believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots z dead. a has not committed murder, but only culpable homicide. exception 3.-culpable homicide is not murder if the offender, being a public servant or aiding a public servant acting for the advancement of public justice, exceeds the powers given to him by law, and causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due discharge of his duty as such public servant and without ill-will towards the person whose death is caused. exception 4.-culpable homicide is not murder if it is committed without premeditation in a sudden fight",,
301,"according to section 301 of indian penal code, if a person, by doing anything which he intends or knows to be likely to cause death, commits culpable homicide by causing the death of any person, whose death he neither intends nor knows himself to be likely to cause, the culpable homicide committed by the offender is of the description of which it would have been if he had caused the death of the person whose death he intended or knew himself to he likely to cause. ipc 301 in simple words section 301 of the indian penal code states that if a person intends or knows that their action is likely to cause death, and as a result, another person dies (whom they did not intend to harm), the offense is treated as if they caused the death of the person they intended or knew they might harm.",,
302,"according to section 302 of indian penal code, whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine. ipc 302 in simple words section 302 of the indian penal code states that anyone who commits murder can be punished with the death penalty or life imprisonment, and may also be fined.",murder,death or imprisonment for life + fine
303,"according to section 303 of indian penal code, whoever, being under sentence of imprisonment for life, commits murder, shall be punished with death. ipc 303 in simple words section 303 of the indian penal code states that if a person, who is already serving a life imprisonment sentence, commits murder, they can be punished with the death penalty.",murder by a person under sentence of imprisonment for life,death
304,"according to section 304 of indian penal code, whoever commits culpable homicide not amounting to murder shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death; or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to cause such bodily injury as is likely to cause death. ipc 304 in simple words section 304 of the indian penal code states that if someone commits culpable homicide (causing death without intending to commit murder), they can be punished with life imprisonment or imprisonment for up to ten years, and may also be fined, depending on whether the act was done with the intention to cause death or with the knowledge that it is likely to cause death.","culpable homicide not amounting to murder, if act by which the death is caused is done with intention of causing death, etc.",imprisonment for life or 10 years + fine
304A,"a according to section 304a of indian penal code, whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. ipc 304a in simple words section 304a of the indian penal code deals with causing death by a rash or negligent act not amounting to culpable homicide, and the punishment is imprisonment up to two years or a fine, or both.",causing death by rash or negligent act,2 years or fine or both
304B,"b according to section 304b of indian penal code, where the death of a woman is caused by any burns or bodily injury or occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that soon before her death she was subjected to cruelty or harassment by her husband or any relative of her husband for, or in connection with, any demand for dowry, such death shall be called “dowry death”, and such husband or relative shall be deemed to have caused her death. whoever commits dowry death shall be punished with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life. ipc 304b in simple words section 304b of the indian penal code deals with ""dowry death,"" where a woman's death caused by burns or bodily injury within seven years of her marriage, and it is linked to cruelty or harassment related to dowry demands, leading to imprisonment for a minimum of seven years up to life for the husband or relative responsible.",dowry death,"imprisonment for not less than 7 years, but upto life"
305,"according to section 305 of indian penal code, if any person under eighteen years of age, any insane person, any delirious person, any idiot, or any person in a state of intoxication commits suicide, whoever abets the commission of such suicide, shall be punished with death or imprisonment for life, or imprisonment for a term not exceeding ten years, and shall also be liable to fine. ipc 305 in simple words section 305 of the indian penal code states that if a person under eighteen years of age, an insane person, a delirious person, an idiot, or a person in a state of intoxication commits suicide, anyone who encourages or aids in the act can be punished with death, or life imprisonment, or imprisonment for up to ten years, and may also be fined.","abetment of suicide committed by child or insane or delirious person or an idiot, or a person intoxicated",death or imprisonment for life or 10 years + fine
306,"according to section 306 of indian penal code, if any person commits suicide, whoever abets the commission of such suicide, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 306 in simple words section 306 of the indian penal code states that if a person commits suicide, anyone who encourages or aids in the act can be punished with imprisonment for up to ten years, and may also be fined.",abetting the commission of suicide,10 years + fine
307,"according to section 307 of indian penal code, whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act caused death, he would be guilty of murder, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and, if hurt is caused to any person by such act, the offender shall be liable either to imprisonment for life, or to such punishment as is hereinbefore mentioned. attempts by life convicts: when any person offending under this section is under sentence of imprisonment for life, he may, if hurt is caused, be punished with death. ipc 307 in simple words section 307 of the indian penal code states that if someone does an act with the intention or knowledge that, if it caused death, it would be considered murder, they can be punished with imprisonment for up to ten years, and may also be fined; if the act causes hurt to any person, the offender may be sentenced to life imprisonment or the punishment mentioned before, and if the offender is already serving life imprisonment, they can be punished with death if hurt is caused.",attempt to murder,10 years + fine
308,"according to section 308 of indian penal code, whoever does any act with such intention or knowledge and under such circumstances that, if he by that act caused death, he would be guilty of culpable homicide not amounting to murder, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if hurt is caused to any person by such act, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both. ipc 308 in simple words section 308 of the indian penal code states that if someone does an act with the intention or knowledge that, if it caused death, it would be considered culpable homicide not amounting to murder, they can be punished with imprisonment for up to three years, or a fine, or both; if the act causes hurt to any person, the punishment can be imprisonment for up to seven years, or a fine, or both.",attempt to commit culpable homicide,3 years or fine or both
309,"according to section 309 of indian penal code, whoever attempts to commit suicide and does any act towards the commission of such offence, shall be punished with simple imprisonment for a term which may extend to one year or with fine, or with both. ipc 309 in simple words section 309 of the indian penal code states that anyone who attempts to commit suicide and takes any action towards it can be punished with simple imprisonment for up to one year, or a fine, or both.",attempt to commit suicide,simple imprisonment for 1 year or fine or both
310,"according to section 310 of indian penal code, whoever, at any time after the passing of this act, shall have been habitually associated with any other or others for the purpose of committing robbery or child-stealing by means of or accompanied with murder, is a thug. ipc 310 in simple words section 310 of the indian penal code states that anyone who, after the passing of this act, is regularly associated with others to commit robbery or child-stealing along with murder is considered a thug.",,
311,"according to section 311 of indian penal code, whoever is a thug, shall be punished with imprisonment for life, and shall also be liable to fine. ipc 311 in simple words section 311 of the indian penal code states that anyone who is a thug can be punished with life imprisonment and may also be fined.",offencepunishment,being a thug
312,"according to section 312 of indian penal code, whoever voluntarily causes a woman with child to miscarry, shall if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 312 in simple words section 312 of the indian penal code states that anyone who voluntarily causes a woman to miscarry, except in good faith to save her life, can be punished with imprisonment for up to three years, or a fine, or both; if the woman is pregnant and the miscarriage is caused when the fetus is developed, the punishment can be imprisonment for up to seven years, and may also be fined.",causing miscarriage,3 years or fine or both
313,"according to section 313 of indian penal code, whoever commits the offence defined in the last preceding section without the consent of the woman, whether the woman is quick with child or not, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 313 in simple words section 313 of the indian penal code states that if someone commits the offense mentioned in the preceding section (causing miscarriage and death of a woman) without the woman's consent, whether she is pregnant or not, they can be punished with imprisonment for life or imprisonment for up to ten years, and may also be fined.",causing miscarriage without womanâ€™s consent,imprisonment for life or 10 years + fine
314,"according to section 314 of indian penal code, whoever, with intent to cause the miscarriage of a woman with child, does any act which causes the death of such woman, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; if act done without woman’s consent — and if the act is done without the consent of the woman, shall be punished either with imprisonment for life, or with the punishment above mentioned. ipc 314 in simple words section 314 of the indian penal code states that if someone, with the intent to cause a miscarriage, does an act that results in the death of a pregnant woman, they can be punished with imprisonment for up to ten years, and may also be fined; if the act is done without the woman's consent, the punishment can be imprisonment for life or the same as mentioned above.",death caused by an act done with intent to cause miscarriage,10 years + fine
315,"according to section 315 of indian penal code, whoever before the birth of any child does any act with the intention of thereby preventing that child from being born alive or causing it to die after its birth, and does by such act prevent that child from being born alive, or causes it to die after its birth, shall, if such act be not caused in good faith for the purpose of saving the life of the mother, be punished with imprisonment of either description for a term which may extend to ten years, or with fine, or with both. ipc 315 in simple words section 315 of the indian penal code states that anyone who, with the intention of preventing a child from being born alive or causing its death after birth, does an act that leads to the child not being born alive or dying after birth, can be punished with imprisonment for up to ten years, or a fine, or both, unless the act was done in good faith to save the life of the mother.","act done with intent to prevent a child being born alive, or to cause it to die after its birth",10 years or fine or both
316,"according to section 316 of indian penal code, whoever does any act under such circumstances, that if he thereby caused death he would be guilty of culpable homicide, and does by such act cause the death of a quick unborn child, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 316 in simple words section 316 of the indian penal code states that anyone who does an act that, if it caused death, would be considered culpable homicide, and as a result, causes the death of a quick unborn child, can be punished with imprisonment for up to ten years and may also be fined.",causing death of a quick unborn child by an act amounting to culpable homicide,10 years and fine
317,"according to section 317 of indian penal code, whoever being the father or mother of a child under the age of twelve years, or having the care of such child, shall expose or leave such child in any place with the intention of wholly abandoning such child, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both. ipc 317 in simple words section 317 of the indian penal code states that anyone who is the parent or caretaker of a child under twelve years and intentionally leaves the child in a place with the intention of completely abandoning them can be punished with imprisonment for up to seven years, or a fine, or both.",exposure of a child under 12 years of age by parent or person having care of it with intention of wholly abandoning it,7 years or fine or both
318,"according to section 318 of indian penal code, whoever, by secretly burying or otherwise disposing of the dead body of a child whether such child die before or after or during its birth, intentionally conceals or endeavors to conceal the birth of such child, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. ipc 318 in simple words section 318 of the indian penal code states that anyone who secretly buries or disposes of the dead body of a child to conceal its birth can be punished with imprisonment for up to two years, or a fine, or both.",concealment of birth by secret disposal of dead body,2 years or fine or both
319,"according to section 319 of indian penal code, whoever causes bodily pain, disease or infirmity to any person is said to cause hurt. ipc 319 in simple words section 319 of the indian penal code states that anyone who causes bodily pain, disease, or infirmity to another person is considered to have caused hurt.",,
320,"according to section 320 of indian penal code, the following kinds of hurt only are designated as ""grievous"": emasculation. permanent privation of the sight of either eye. permanent privation of the hearing of either ear. privation of any member or joint. destruction or permanent impairing of the powers of any member or joint. permanent disfiguration of the head or face. fracture or dislocation of a bone or tooth. any hurt which endangers life or which causes the sufferer to be during the space of twenty days in severe bodily pain, or unable to follow his ordinary pursuits. ipc 320 in simple words section 320 of the indian penal code defines 'grievous hurt' as specific severe injuries including emasculation, loss of sight or hearing, loss of a body part or joint, disfigurement, fractures, and injuries endangering life or causing severe pain for at least twenty days.",,
321,"according to section 321 of indian penal code, whoever does any act with the intention of thereby causing hurt to any person, or with the knowledge that he is likely thereby to cause hurt to any person, and does thereby cause hurt to any person, is said “voluntarily to cause hurt”. ipc 321 in simple words section 321 of the indian penal code states that if someone intentionally does an act with the intention of causing hurt or knowing that it is likely to cause hurt to another person, and it indeed causes hurt, they are considered to have 'voluntarily caused hurt'.",,
322,"according to section 322 of indian penal code, whoever voluntarily causes hurt, if the hurt which he intends to cause or knows himself to be likely to cause is grievous hurt, and if the hurt which he causes is grievous hurt, is said “voluntarily to cause grievous hurt”. ipc 322 in simple words section 322 of the indian penal code states that if someone intentionally causes severe injuries, and those injuries turn out to be severe, they are considered to have 'voluntarily caused grievous hurt'.",,
323,"according to section 323 of indian penal code, whoever, except in the case provided for by section 334, voluntarily causes hurt, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both. ipc 323 in simple words section 323 of the indian penal code states that if someone voluntarily causes hurt to another person, they can be punished with imprisonment for up to one year, or a fine of up to one thousand rupees, or both.",voluntarily causing hurt,1 year or fine or both
324,"according to section 324 of indian penal code, whoever, except in the case provided for by section 334, voluntarily causes hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. ipc 324 in simple words section 324 of the indian penal code states that if someone voluntarily causes hurt using dangerous means or instruments, they can be punished with imprisonment for up to three years, or a fine, or both.",voluntarily causing hurt by dangerous weapons or means,3 years or fine or both
325,"according to section 325 of indian penal code, whoever, except in the case provided for by section 335, voluntarily causes grievous hurt, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 325 in simple words section 325 of the indian penal code states that if someone voluntarily causes severe injuries to another person, they can be punished with imprisonment for up to seven years, and may also be fined.",voluntarily causing grievous hurt,7 years + fine
326,"according to section 326 of indian penal code, whoever, except in the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance, or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 326 in simple words section 326 of the indian penal code states that if someone voluntarily causes severe injuries using various dangerous means or instruments, they can be punished with life imprisonment or imprisonment for up to ten years, and may also be fined.",voluntarily causing grievous hurt by dangerous weapons or means,imprisonment for life or 10 years + fine
326A,"a according to section 326a of indian penal code, whoever causes permanent or partial damage or deformity to, or bums or maims or disfigures or disables, any part or parts of the body of a person or causes grievous hurt by throwing acid on or by administering acid to that person, or by using any other means with the intention of causing or with the knowledge that he is likely to cause such injury or hurt, shall be punished with imprisonment of either description for a term which shall not be less than ten years but which may extend to imprisonment for life, and with fine; provided that such fine shall be just and reasonable to meet the medical expenses of the treatment of the victim; provided further that any fine imposed under this section shall be paid to the victim. ipc 326a in simple words section 326a of the indian penal code punishes those who cause severe harm, such as permanent damage, deformity, or grievous hurt to someone by throwing acid or using any other means, with imprisonment of 10 years to life and a fine. the fine is intended to cover the victim's medical expenses.","voluntarily causing grievous hurt by use of acid, etc.",10 years to life + fine paid to the victim
326B,"b according to section 326b of indian penal code, whoever throws or attempts to throw acid on any person or attempts to administer acid to any person, or attempts to use any other means, with the intention of causing permanent or partial damage or deformity or bums or maiming or disfigurement or disability or grievous hurt to that person, shall be punished with imprisonment of either description for a term which shall not be less than five years but which may extend to seven years, and shall also be liable to fine. explanations for the purposes of section 326a and this section, “acid” includes any substance which has acidic or corrosive character or burning nature, that is capable of causing bodily injury leading to scars or disfigurement or temporary or permanent disability. for the purposes of section 326a and this section, permanent or partial damage or deformity shall not be required to be irreversible. ipc 326b in simple words section 326b of the indian penal code punishes those who throw or attempt to throw acid on someone with the intent to cause severe harm, such as permanent damage, disfigurement, or grievous hurt, with imprisonment of 5 to 7 years and a fine. the definition of ""acid"" includes any substance that can cause bodily injury leading to scars or disability.",voluntarily throwing or attempting to throw acid,5 to 7 years + fine
327,"according to section 327 of indian penal code, whoever voluntarily causes hurt, for the purpose of extorting from the sufferer, or from any person interested in the sufferer, any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything which is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 327 in simple words section 327 of the indian penal code states that if someone voluntarily causes hurt to another person with the purpose of extorting property, valuables, or compelling them to do something illegal or facilitate the commission of an offense, they can be punished with imprisonment for up to ten years, and may also be fined.","voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything which is illegal or which may facilitate the commission of an offence",10 years + fine
328,"according to section 328 of indian penal code, whoever administers to or causes to be taken by any person any poison or any stupefying, intoxicating or unwholesome drug, or other thing with intent to cause hurt to such person, or with intent to commit or to facilitate the commission of an offence or knowing it to be likely that he will thereby cause hurt, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 328 in simple words section 328 of the indian penal code states that if someone administers poison or any harmful substance to another person with the intent to cause harm, facilitate an offense, or knowing it may cause harm, they can be punished with imprisonment for up to ten years, and may also be fined.","administering stupefying drug with intent to cause hurt, etc.",10 years + fine
329,"according to section 329 of indian penal code, whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or from any person interested in the sufferer any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything that is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 329 in simple words section 329 of the indian penal code states that if someone voluntarily causes severe injuries to another person with the purpose of extorting property, valuables, or compelling them to do something illegal or facilitate the commission of an offense, they can be punished with life imprisonment or imprisonment for up to ten years, and may also be fined.","voluntarily causing grievous hurt to extort property or a valuable security, or to constrain to do anything which is illegal, or which may facilitate the commission of an offence",imprisonment for life or 10 years + fine
330,"according to section 330 of indian penal code, whoever voluntarily causes hurt, for the purpose of extorting from the sufferer or from any person interested in the sufferer, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 330 in simple words section 330 of the indian penal code states that if someone voluntarily causes hurt to another person with the purpose of extorting a confession, information, property, or valuables, they can be punished with imprisonment for up to seven years and may also be fined.","voluntarily causing hurt to extort confession or information of property, etc.",7 years + fine
331,"according to section 331 of indian penal code, whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or from any person interested in the sufferer any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security, or to satisfy any claim or demand or to give information which may lead to the restoration of any property or valuable security shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 331 in simple words section 331 of the indian penal code states that if someone voluntarily causes severe injuries to another person with the purpose of extorting a confession, information, property, or valuables, they can be punished with imprisonment for up to ten years and may also be fined.","voluntarily causing grievous hurt to extort confession or information or to compel restoration of property, etc.",10 years + fine
332,"according to section 332 of indian penal code, whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. ipc 332 in simple words section 332 of the indian penal code states that if someone voluntarily causes hurt to a public servant while they are performing their duty, or with the intent to prevent or deter them or any other public servant from performing their duty, or as a consequence of their lawful actions as a public servant, they can be punished with imprisonment for up to three years, or a fine, or both.",voluntarily causing hurt to deter public servant from his duty,3 years or fine or both
333,"according to section 333 of indian penal code, whoever voluntarily causes grievous hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 333 in simple words section 333 of the indian penal code states that if someone intentionally causes severe injuries to a public servant while they are performing their duty, or with the intent to prevent them or any other public servant from performing their duty, or as a consequence of their lawful actions as a public servant, they can be punished with imprisonment for up to ten years and may also be fined.",voluntarily causing grievous hurt to deter public servant from his duty,10 years + fine
